X Y	IV BETA SE P
AKR7L bald14 10 0.004 0.015 0.81
ALCAM bald14 8 0.018 0.019 0.34
ALDH1A1 bald14 5 -0.039 0.079 0.62
ALDH3A1 bald14 15 0.008 0.011 0.51
ALDH5A1 bald14 6 -0.02 0.033 0.54
ALPP bald14 24 -0.004 0.008 0.63
AMBP bald14 5 -0.036 0.041 0.38
AMIGO2 bald14 8 0.026 0.029 0.37
AMN bald14 36 0.001 0.008 0.93
AMPD3 bald14 11 0.01 0.011 0.36
AMY2A bald14 37 -0.003 0.009 0.73
AMY2B bald14 31 0.004 0.009 0.64
ANG bald14 14 -0.004 0.008 0.62
ANGPT1 bald14 4 0.011 0.093 0.9
ANGPT2 bald14 7 0.003 0.022 0.88
ANGPTL1 bald14 18 0.023 0.016 0.14
ANGPTL3 bald14 8 -0.024 0.027 0.38
ANGPTL4 bald14 11 -0.002 0.008 0.81
ANGPTL7 bald14 10 -0.013 0.017 0.44
ANPEP bald14 22 0.01 0.01 0.3
ANXA2 bald14 15 0.029 0.01 0.0044
ANXA3 bald14 5 -0.024 0.035 0.5
ANXA5 bald14 4 0.077 0.041 0.061
AOC1 bald14 6 -0.038 0.022 0.082
AOC3 bald14 19 -0.006 0.009 0.53
AP1G2 bald14 7 -0.003 0.023 0.9
APBB1IP bald14 5 0.042 0.087 0.63
APCS bald14 7 -0.032 0.018 0.081
APEX1 bald14 6 0.002 0.012 0.89
APOA1 bald14 5 0.038 0.081 0.64
APOA4 bald14 5 0.055 0.072 0.45
APOBR bald14 80 0.014 0.004 0.00052
APOC1 bald14 7 -0.027 0.04 0.49
APOD bald14 13 -0.016 0.016 0.33
APOE bald14 36 -0.002 0.007 0.82
APOF bald14 5 -0.027 0.094 0.77
APOH bald14 23 0.01 0.017 0.57
APOL1 bald14 7 -0.024 0.021 0.24
APOM bald14 8 0.035 0.017 0.036
APPL2 bald14 4 0.017 0.04 0.68
APRT bald14 7 -0.089 0.033 0.0062
AREG bald14 5 0.08 0.054 0.14
ARG1 bald14 7 0 0.019 1
ARHGEF10 bald14 21 0.004 0.016 0.8
ARHGEF5 bald14 17 -0.011 0.007 0.13
ARL2BP bald14 4 -0.002 0.016 0.89
ARSA bald14 24 -0.008 0.01 0.44
ARSB bald14 13 -0.015 0.012 0.2
ART3 bald14 14 -0.007 0.024 0.76
ART5 bald14 4 -0.015 0.03 0.62
ASAH1 bald14 14 -0.012 0.013 0.35
ASAH2 bald14 29 0.008 0.006 0.15
ASGR1 bald14 4 0.064 0.027 0.016
ASGR2 bald14 10 -0.001 0.015 0.94
ASPN bald14 10 -0.011 0.023 0.65
ASPSCR1 bald14 5 0.021 0.041 0.61
ASRGL1 bald14 9 -0.01 0.017 0.54
ATRAID bald14 9 -0.014 0.017 0.42
ATRN bald14 30 0 0.008 0.99
ATXN3 bald14 7 0.013 0.029 0.66
AXL bald14 10 -0.008 0.018 0.66
AZU1 bald14 8 0.008 0.028 0.77
B3GNT7 bald14 25 0.008 0.01 0.45
B4GALT1 bald14 8 -0.046 0.017 0.0079
B4GAT1 bald14 8 -0.013 0.031 0.66
BAIAP2 bald14 4 0 0.047 0.99
BANK1 bald14 6 -0.071 0.225 0.75
BCAM bald14 9 -0.014 0.014 0.3
BCAN bald14 5 -0.024 0.02 0.23
BCAT1 bald14 20 0.011 0.012 0.34
BCHE bald14 38 0.016 0.009 0.072
BCL2L15 bald14 5 0.024 0.029 0.41
BLMH bald14 25 -0.011 0.015 0.46
BLNK bald14 4 0.001 0.08 0.99
BLVRB bald14 5 -0.063 0.023 0.0055
BMP10 bald14 10 0.001 0.01 0.94
BMP6 bald14 7 0.054 0.043 0.2
BMPER bald14 12 0.048 0.024 0.046
BOC bald14 12 0.018 0.018 0.34
BPIFA2 bald14 7 0.052 0.042 0.21
BPIFB1 bald14 23 0 0.012 1
BPIFB2 bald14 12 -0.052 0.014 0.00015
BRSK2 bald14 20 -0.006 0.009 0.48
BSG bald14 5 0.054 0.029 0.06
BST1 bald14 56 0 0.003 0.95
BST2 bald14 8 0.021 0.039 0.59
BTC bald14 13 -0.004 0.01 0.7
BTD bald14 30 0.016 0.007 0.021
BTN1A1 bald14 7 -0.022 0.022 0.31
BTN2A1 bald14 15 -0.02 0.018 0.25
BTN3A2 bald14 22 0.005 0.008 0.53
C19orf12 bald14 5 -0.06 0.07 0.4
C1QA bald14 12 -0.006 0.011 0.57
C1QL2 bald14 10 0.023 0.019 0.22
C1QTNF1 bald14 7 0.017 0.015 0.26
C1QTNF9 bald14 54 0.016 0.008 0.043
C1R bald14 8 0.024 0.017 0.17
C1RL bald14 13 0.02 0.015 0.18
C1S bald14 7 0.017 0.01 0.08
C2 bald14 18 -0.001 0.017 0.93
C4BPB bald14 8 -0.014 0.021 0.51
C5 bald14 5 0.004 0.033 0.89
C7 bald14 35 0 0.007 1
C7orf50 bald14 14 0.031 0.016 0.047
C8B bald14 18 -0.006 0.007 0.42
C9 bald14 9 -0.015 0.025 0.57
CA12 bald14 12 -0.029 0.02 0.16
CA13 bald14 6 -0.034 0.018 0.06
CA14 bald14 11 0.021 0.015 0.16
CA1 bald14 4 0.062 0.038 0.1
CA2 bald14 5 0.003 0.062 0.96
CA3 bald14 9 0.013 0.034 0.7
CA4 bald14 10 -0.038 0.014 0.0076
CA5A bald14 26 0.014 0.011 0.22
CA6 bald14 31 0.002 0.011 0.88
CA9 bald14 6 0.006 0.029 0.84
CACNB3 bald14 4 0.046 0.044 0.3
CALCA bald14 6 0.007 0.029 0.8
CALCB bald14 8 0.006 0.034 0.86
CAMKK1 bald14 5 -0.045 0.014 0.001
CANT1 bald14 7 -0.038 0.022 0.094
CAPG bald14 38 0.004 0.007 0.55
CAPS bald14 9 0.025 0.03 0.41
CARHSP1 bald14 4 0.076 0.049 0.12
CASP10 bald14 6 0.021 0.02 0.29
CASP3 bald14 4 0.009 0.037 0.81
CASP7 bald14 5 -0.039 0.028 0.17
CASP8 bald14 5 0.034 0.018 0.059
CAT bald14 7 0.037 0.018 0.036
CBLN4 bald14 13 0.009 0.037 0.81
CBS bald14 4 0.013 0.038 0.73
CC2D1A bald14 5 -0.068 0.032 0.036
CCER2 bald14 4 -0.072 0.032 0.027
CCL11 bald14 5 0.092 0.038 0.015
CCL13 bald14 13 -0.006 0.019 0.74
CCL14 bald14 13 0.013 0.017 0.45
CCL15 bald14 25 -0.011 0.005 0.018
CCL16 bald14 32 0.014 0.009 0.097
CCL17 bald14 8 -0.025 0.017 0.14
CCL18 bald14 14 -0.005 0.009 0.58
CCL21 bald14 4 0.025 0.06 0.68
CCL22 bald14 7 -0.019 0.025 0.45
CCL23 bald14 18 0.011 0.009 0.22
CCL24 bald14 61 0.001 0.005 0.8
CCL25 bald14 34 -0.005 0.004 0.24
CCL26 bald14 8 -0.01 0.022 0.65
CCL27 bald14 4 -0.006 0.016 0.72
CCL3 bald14 19 -0.009 0.013 0.47
CCL4 bald14 16 0.002 0.009 0.86
CCL5 bald14 4 0.015 0.026 0.57
CCL7 bald14 5 -0.012 0.032 0.71
CCL8 bald14 47 0.017 0.011 0.13
CCN2 bald14 7 0.01 0.034 0.77
CCN3 bald14 9 0 0.018 1
CCN4 bald14 24 -0.002 0.005 0.65
CCN5 bald14 13 0.005 0.01 0.62
CCS bald14 14 -0.002 0.007 0.76
CD101 bald14 37 -0.001 0.005 0.82
CD109 bald14 56 0.011 0.012 0.36
CD14 bald14 7 -0.026 0.027 0.33
CD160 bald14 14 0.006 0.011 0.59
CD163 bald14 7 -0.047 0.035 0.18
CD164L2 bald14 9 -0.008 0.021 0.72
CD177 bald14 86 0 0.005 0.94
CD1C bald14 12 0.026 0.019 0.17
CD200 bald14 10 -0.02 0.023 0.4
CD200R1 bald14 33 -0.003 0.007 0.67
CD207 bald14 21 -0.016 0.01 0.11
CD209 bald14 18 -0.004 0.013 0.75
CD226 bald14 6 0.153 0.107 0.15
CD22 bald14 6 0.042 0.031 0.17
CD244 bald14 17 -0.01 0.012 0.39
CD274 bald14 15 0.007 0.013 0.58
CD276 bald14 30 0.004 0.009 0.63
CD27 bald14 14 0.003 0.032 0.93
CD2AP bald14 6 0.036 0.04 0.36
CD300A bald14 11 0.024 0.016 0.13
CD300C bald14 18 -0.006 0.01 0.55
CD300E bald14 16 0.009 0.011 0.4
CD300LF bald14 46 -0.003 0.008 0.69
CD300LG bald14 11 -0.008 0.01 0.42
CD302 bald14 11 -0.016 0.023 0.48
CD33 bald14 80 -0.011 0.007 0.14
CD34 bald14 5 0.023 0.042 0.58
CD36 bald14 9 -0.025 0.017 0.15
CD38 bald14 13 0.005 0.017 0.75
CD40 bald14 9 0.019 0.017 0.26
CD46 bald14 4 0.012 0.039 0.77
CD48 bald14 16 -0.006 0.011 0.57
CD4 bald14 6 0.004 0.014 0.78
CD55 bald14 10 0.018 0.02 0.36
CD58 bald14 8 -0.002 0.028 0.94
CD59 bald14 6 -0.003 0.017 0.84
CD5 bald14 12 0.018 0.025 0.47
CD5L bald14 8 -0.024 0.018 0.18
CD6 bald14 13 0.005 0.007 0.48
CD70 bald14 41 -0.006 0.009 0.5
CD72 bald14 6 -0.067 0.074 0.37
CD7 bald14 16 0.01 0.011 0.38
CD80 bald14 15 0 0.016 0.99
CD83 bald14 6 -0.02 0.032 0.53
CD86 bald14 13 0.02 0.025 0.41
CD8A bald14 10 0.012 0.013 0.35
CDA bald14 23 0.003 0.013 0.81
CDC37 bald14 6 0.146 0.176 0.41
CDCP1 bald14 14 0.001 0.016 0.95
CDH15 bald14 25 0.018 0.015 0.21
CDH17 bald14 14 0.009 0.015 0.58
CDH2 bald14 4 -0.003 0.033 0.93
CDH3 bald14 4 -0.002 0.033 0.96
CDH6 bald14 22 -0.011 0.011 0.34
CDHR1 bald14 12 0.001 0.009 0.95
CDHR2 bald14 5 0.014 0.038 0.7
CDHR5 bald14 41 -0.004 0.009 0.63
CDNF bald14 7 0.009 0.023 0.7
CDON bald14 10 -0.035 0.065 0.59
CDSN bald14 45 0.002 0.004 0.58
CEACAM16 bald14 18 -0.016 0.01 0.1
CEACAM19 bald14 6 0.041 0.056 0.47
CEACAM1 bald14 10 0.009 0.024 0.7
CEACAM20 bald14 8 0.04 0.022 0.069
CEACAM21 bald14 28 -0.012 0.006 0.051
CEACAM5 bald14 12 -0.001 0.011 0.94
CELA2A bald14 5 0.006 0.025 0.82
CELA3A bald14 13 0.006 0.021 0.77
CELSR2 bald14 14 -0.008 0.012 0.51
CEMIP2 bald14 10 0.036 0.02 0.079
CENPF bald14 4 0.052 0.058 0.37
CEP112 bald14 10 -0.115 0.034 0.00058
CEP20 bald14 4 -0.007 0.042 0.88
CEP43 bald14 4 0.085 0.054 0.12
CES1 bald14 19 0.001 0.01 0.92
CES3 bald14 8 0.007 0.015 0.65
CFB bald14 17 0.02 0.012 0.084
CFD bald14 12 0.003 0.024 0.9
CFH bald14 22 -0.012 0.013 0.36
CFHR2 bald14 81 -0.004 0.005 0.47
CFHR4 bald14 102 -0.007 0.003 0.035
CFHR5 bald14 25 -0.018 0.009 0.053
CFI bald14 8 -0.024 0.022 0.28
CGREF1 bald14 31 0 0.008 0.99
CHAC2 bald14 8 -0.019 0.043 0.65
CHAD bald14 5 -0.026 0.016 0.11
CHCHD10 bald14 4 0.183 0.057 0.0014
CHCHD6 bald14 7 0.034 0.019 0.08
CHGA bald14 5 -0.023 0.023 0.32
CHGB bald14 12 0.001 0.008 0.93
CHI3L1 bald14 18 0.014 0.011 0.22
CHIT1 bald14 45 -0.01 0.005 0.035
CHL1 bald14 33 -0.006 0.011 0.58
CHMP1A bald14 4 0.179 0.049 0.00026
CHRDL2 bald14 9 0.001 0.014 0.93
CILP bald14 4 0.004 0.024 0.86
CIT bald14 5 0.13 0.056 0.021
CKAP4 bald14 10 0.023 0.018 0.19
CLEC10A bald14 28 -0.003 0.008 0.67
CLEC11A bald14 9 0.003 0.015 0.83
CLEC12A bald14 12 -0.01 0.014 0.45
CLEC14A bald14 4 0.012 0.058 0.83
CLEC1A bald14 11 -0.003 0.013 0.82
CLEC1B bald14 4 0.05 0.03 0.099
CLEC3B bald14 6 0.02 0.049 0.69
CLEC4A bald14 8 -0.001 0.01 0.94
CLEC4C bald14 43 -0.002 0.011 0.87
CLEC4D bald14 24 0.01 0.008 0.19
CLEC4G bald14 10 0.02 0.022 0.35
CLEC4M bald14 17 -0.009 0.014 0.54
CLEC5A bald14 8 -0.009 0.023 0.7
CLEC6A bald14 23 0.016 0.01 0.11
CLEC7A bald14 41 0 0.004 0.98
CLGN bald14 29 -0.006 0.007 0.42
CLIC5 bald14 4 0.017 0.038 0.66
CLMP bald14 11 -0.028 0.014 0.044
CLPS bald14 51 -0.006 0.007 0.37
CLSTN2 bald14 32 -0.006 0.012 0.63
CLSTN3 bald14 15 -0.004 0.007 0.55
CLU bald14 10 0.018 0.03 0.56
CLUL1 bald14 48 -0.011 0.011 0.31
CNDP1 bald14 22 -0.009 0.013 0.48
CNPY4 bald14 6 -0.068 0.022 0.0019
CNTN1 bald14 18 -0.013 0.012 0.26
CNTN2 bald14 43 -0.021 0.005 9.7e-05
CNTN3 bald14 18 0.015 0.013 0.27
CNTN4 bald14 27 0.006 0.013 0.66
CNTN5 bald14 52 0.009 0.008 0.28
CNTNAP2 bald14 38 -0.004 0.017 0.82
COCH bald14 18 -0.01 0.012 0.44
COL15A1 bald14 13 -0.001 0.018 0.96
COL18A1 bald14 21 0.03 0.017 0.077
COL1A1 bald14 4 -0.108 0.043 0.013
COL24A1 bald14 11 0.1 0.015 6.9e-11
COL28A1 bald14 52 -0.003 0.007 0.62
COL2A1 bald14 38 0.01 0.009 0.28
COL3A1 bald14 4 0.029 0.041 0.48
COL4A1 bald14 6 -0.16 0.102 0.12
COL5A1 bald14 9 0.02 0.025 0.43
COL6A3 bald14 4 -0.065 0.114 0.57
COL9A1 bald14 11 0.011 0.015 0.48
COLEC12 bald14 19 -0.02 0.014 0.16
COMP bald14 7 0.024 0.021 0.25
COMT bald14 8 -0.037 0.01 0.00014
CPA1 bald14 8 -0.019 0.021 0.37
CPA2 bald14 12 0.007 0.011 0.52
CPA4 bald14 22 0.009 0.008 0.23
CPB2 bald14 22 -0.007 0.009 0.42
CPE bald14 12 0.015 0.025 0.55
CPM bald14 9 -0.014 0.022 0.53
CPOX bald14 5 0.004 0.025 0.86
CPPED1 bald14 40 0.011 0.009 0.19
CPQ bald14 24 -0.008 0.008 0.31
CPVL bald14 31 0.008 0.005 0.12
CPXM1 bald14 16 0.016 0.01 0.094
CPXM2 bald14 27 0.003 0.011 0.79
CR1 bald14 35 0.004 0.014 0.78
CR2 bald14 7 -0.006 0.018 0.76
CRACR2A bald14 7 -0.008 0.024 0.75
CREG1 bald14 5 0.003 0.021 0.9
CRELD1 bald14 38 0.002 0.006 0.71
CRELD2 bald14 17 -0.017 0.025 0.5
CRH bald14 9 0.007 0.036 0.84
CRHBP bald14 25 0.007 0.011 0.54
CRIM1 bald14 8 -0.123 0.055 0.024
CRIP2 bald14 6 -0.05 0.041 0.22
CRISP2 bald14 25 -0.009 0.011 0.39
CRISP3 bald14 21 -0.009 0.018 0.62
CRNN bald14 21 -0.023 0.05 0.65
CRTAC1 bald14 30 -0.004 0.003 0.2
CRTAM bald14 9 0.075 0.067 0.26
CRYBB1 bald14 4 0.024 0.016 0.13
CRYGD bald14 42 -0.003 0.004 0.4
CRYM bald14 8 -0.023 0.014 0.099
CRYZL1 bald14 4 0.03 0.065 0.64
CSF1 bald14 5 -0.005 0.017 0.75
CSF1R bald14 8 -0.016 0.011 0.14
CSF2 bald14 7 -0.038 0.025 0.12
CSF2RB bald14 45 0.008 0.008 0.33
CSF3R bald14 11 -0.005 0.013 0.7
CSPG4 bald14 7 -0.017 0.04 0.67
CST1 bald14 21 -0.007 0.008 0.37
CST3 bald14 8 -0.031 0.024 0.19
CST5 bald14 31 0.002 0.005 0.75
CST6 bald14 4 0.046 0.022 0.039
CST7 bald14 41 -0.003 0.005 0.47
CSTB bald14 30 0.003 0.008 0.72
CTBS bald14 24 -0.002 0.011 0.84
CTHRC1 bald14 5 -0.049 0.029 0.09
CTRB1 bald14 24 -0.004 0.009 0.7
CTRC bald14 8 0.017 0.011 0.11
CTSB bald14 25 0.004 0.011 0.73
CTSC bald14 36 -0.003 0.004 0.43
CTSD bald14 13 0.003 0.013 0.84
CTSE bald14 16 0.007 0.008 0.4
CTSF bald14 8 -0.013 0.017 0.47
CTSH bald14 24 0.002 0.007 0.81
CTSO bald14 8 0.019 0.021 0.39
CTSS bald14 12 -0.01 0.01 0.33
CTSV bald14 11 -0.009 0.017 0.57
CTSZ bald14 6 0.011 0.01 0.26
CX3CL1 bald14 9 -0.037 0.026 0.15
CXCL11 bald14 9 0.003 0.011 0.76
CXCL12 bald14 4 -0.038 0.02 0.054
CXCL16 bald14 11 0.004 0.018 0.84
CXCL1 bald14 18 -0.006 0.008 0.46
CXCL5 bald14 7 -0.008 0.04 0.85
CXCL6 bald14 15 0.006 0.008 0.49
CXCL8 bald14 5 0.032 0.055 0.57
CYB5R2 bald14 14 -0.023 0.019 0.23
CYTL1 bald14 15 -0.003 0.009 0.74
DAPK2 bald14 10 0.004 0.037 0.91
DBH bald14 69 -0.001 0.004 0.9
DBI bald14 7 -0.021 0.014 0.14
DCBLD2 bald14 16 -0.008 0.011 0.47
DCC bald14 5 -0.026 0.061 0.67
DCTD bald14 6 -0.051 0.061 0.41
DDAH1 bald14 8 0.01 0.023 0.66
DDC bald14 12 -0.015 0.012 0.22
DDR1 bald14 21 -0.004 0.016 0.8
DDT bald14 8 0.016 0.022 0.47
DDX58 bald14 13 -0.016 0.016 0.33
DECR1 bald14 5 0.031 0.029 0.29
DFFA bald14 4 0.044 0.164 0.79
DHRS4L2 bald14 13 -0.003 0.013 0.82
DKK3 bald14 15 -0.019 0.017 0.28
DKK4 bald14 5 -0.03 0.026 0.25
DKKL1 bald14 73 -0.004 0.001 0.0015
DLK1 bald14 15 -0.004 0.024 0.87
DLL1 bald14 9 -0.002 0.023 0.93
DNAJA4 bald14 7 -0.011 0.04 0.79
DNAJC6 bald14 5 0.008 0.043 0.85
DNER bald14 14 0.006 0.02 0.76
DNM1 bald14 14 0.066 0.027 0.014
DNMBP bald14 4 -0.02 0.045 0.65
DNPEP bald14 4 0.013 0.077 0.87
DNPH1 bald14 8 0.038 0.015 0.012
DPEP1 bald14 68 -0.015 0.01 0.13
DPEP2 bald14 10 0.001 0.019 0.95
DPP10 bald14 18 0.002 0.017 0.9
DPP4 bald14 7 0.03 0.084 0.72
DPP7 bald14 5 -0.039 0.019 0.045
DPT bald14 23 -0.005 0.007 0.46
DRAXIN bald14 23 0.013 0.01 0.18
DSC2 bald14 7 -0.022 0.021 0.29
DSCAM bald14 18 0.012 0.009 0.16
DSG2 bald14 12 0.035 0.02 0.08
DSG3 bald14 8 0.019 0.039 0.62
DSG4 bald14 5 -0.042 0.073 0.57
DTD1 bald14 4 -0.042 0.028 0.13
DTNB bald14 4 -0.046 0.097 0.63
DTX3 bald14 4 0.117 0.041 0.0048
DTYMK bald14 5 -0.019 0.118 0.87
DUSP13 bald14 5 -0.021 0.018 0.25
DXO bald14 10 0.025 0.017 0.15
ECE1 bald14 6 -0.014 0.025 0.57
ECHDC3 bald14 20 0.002 0.008 0.82
ECM1 bald14 33 0.006 0.009 0.52
EDAR bald14 19 0.003 0.01 0.75
EDN1 bald14 5 -0.007 0.024 0.76
EFCAB2 bald14 11 0.003 0.02 0.87
EFHD1 bald14 11 -0.034 0.024 0.16
EFNA1 bald14 5 0.038 0.014 0.0067
EFNA4 bald14 6 -0.063 0.032 0.047
EGFL7 bald14 9 -0.013 0.024 0.6
EGFLAM bald14 14 -0.008 0.023 0.73
EGFR bald14 7 -0.021 0.015 0.15
EHBP1 bald14 6 -0.072 0.076 0.35
EIF2AK3 bald14 4 -0.02 0.031 0.53
ELAC1 bald14 4 -0.045 0.031 0.15
ENDOU bald14 13 -0.002 0.013 0.88
ENG bald14 8 0.013 0.02 0.52
ENO1 bald14 4 0.001 0.029 0.98
ENO2 bald14 5 -0.021 0.04 0.6
ENPP2 bald14 18 -0.011 0.012 0.36
ENPP5 bald14 52 -0.001 0.006 0.83
ENPP6 bald14 14 0.007 0.027 0.8
ENPP7 bald14 45 -0.004 0.005 0.43
ENTPD5 bald14 16 0.002 0.009 0.87
ENTPD6 bald14 20 -0.004 0.012 0.74
ENTR1 bald14 10 -0.016 0.016 0.34
EPHA1 bald14 9 0.009 0.029 0.77
EPHA2 bald14 8 0.007 0.027 0.8
EPHA4 bald14 8 0.092 0.029 0.0013
EPHB4 bald14 6 -0.054 0.018 0.0031
EPHB6 bald14 5 -0.011 0.022 0.62
EPHX2 bald14 5 0.019 0.037 0.62
EPO bald14 4 -0.058 0.045 0.2
EPPK1 bald14 45 -0.011 0.014 0.42
EPS8L2 bald14 11 0.011 0.02 0.58
ERBB2 bald14 14 -0.007 0.015 0.63
ERBB3 bald14 8 -0.017 0.025 0.51
ERBB4 bald14 16 0.003 0.022 0.89
ERMAP bald14 6 0.019 0.027 0.48
ERN1 bald14 6 -0.007 0.09 0.94
ESAM bald14 5 0.012 0.019 0.52
ESM1 bald14 7 -0.052 0.035 0.14
EXTL1 bald14 9 -0.025 0.03 0.39
F10 bald14 11 0.026 0.019 0.18
F11 bald14 10 -0.011 0.009 0.22
F12 bald14 62 -0.006 0.004 0.17
F13B bald14 17 0.002 0.013 0.85
F2 bald14 5 0.016 0.027 0.54
F2R bald14 7 -0.017 0.043 0.69
F3 bald14 12 -0.02 0.024 0.42
F7 bald14 17 -0.012 0.008 0.13
FABP2 bald14 7 -0.031 0.018 0.078
FABP3 bald14 5 0.005 0.04 0.9
FABP9 bald14 7 0.074 0.04 0.066
FADD bald14 4 0.054 0.046 0.23
FAM13A bald14 8 -0.065 0.029 0.026
FAM171B bald14 11 0.003 0.023 0.88
FAM172A bald14 6 -0.012 0.038 0.75
FAM20A bald14 9 -0.052 0.031 0.092
FAM3B bald14 20 0.004 0.009 0.7
FAM3D bald14 10 0.028 0.016 0.079
FAP bald14 7 -0.034 0.022 0.13
FAS bald14 14 0.009 0.022 0.68
FBLN2 bald14 10 -0.007 0.015 0.66
FBN2 bald14 9 -0.03 0.014 0.037
FCAMR bald14 11 0.011 0.009 0.26
FCAR bald14 62 0 0.005 0.96
FCER1A bald14 6 0.023 0.034 0.49
FCER2 bald14 18 -0.01 0.012 0.38
FCGR2A bald14 44 -0.003 0.006 0.55
FCGR2B bald14 27 0.005 0.011 0.66
FCGR3B bald14 59 -0.003 0.003 0.26
FCN1 bald14 16 0.003 0.006 0.66
FCN2 bald14 26 -0.006 0.007 0.34
FCRL1 bald14 9 0.002 0.021 0.93
FCRL2 bald14 25 0.007 0.023 0.75
FCRL3 bald14 59 0.003 0.005 0.58
FCRL5 bald14 13 -0.015 0.016 0.35
FCRL6 bald14 27 0.01 0.009 0.27
FCRLB bald14 37 -0.003 0.005 0.6
FES bald14 4 -0.161 0.033 1.5e-06
FETUB bald14 20 0.005 0.008 0.53
FGA bald14 6 -0.03 0.019 0.11
FGF2 bald14 55 0.002 0.008 0.81
FGF5 bald14 26 0.031 0.049 0.53
FGFBP1 bald14 11 0.027 0.043 0.53
FGFBP2 bald14 17 0.018 0.01 0.067
FGFBP3 bald14 12 -0.02 0.016 0.2
FGFR2 bald14 7 0.048 0.026 0.061
FGFR4 bald14 58 -0.001 0.007 0.94
FGL1 bald14 37 -0.002 0.008 0.75
FHIT bald14 7 0 0.036 0.99
FIS1 bald14 4 0.001 0.029 0.97
FKBP1B bald14 5 0.028 0.032 0.37
FKBP5 bald14 4 0.042 0.018 0.022
FKBPL bald14 4 0.061 0.043 0.16
FLRT2 bald14 26 0.001 0.008 0.87
FLT4 bald14 13 0.024 0.009 0.0066
FN1 bald14 10 0.012 0.022 0.57
FNDC1 bald14 25 0.007 0.017 0.69
FOLH1 bald14 5 -0.154 0.046 0.00085
FOLR1 bald14 5 0.005 0.027 0.85
FOLR3 bald14 32 0 0.006 0.98
FOXO1 bald14 4 0.074 0.086 0.39
FRZB bald14 15 -0.006 0.009 0.46
FSTL1 bald14 5 0.02 0.03 0.5
FSTL3 bald14 5 0.067 0.051 0.19
FTCD bald14 9 -0.033 0.033 0.33
FUCA1 bald14 27 0.005 0.009 0.54
FUOM bald14 8 0.014 0.054 0.8
FUT8 bald14 43 0.002 0.008 0.82
FXN bald14 5 0.111 0.129 0.39
FXYD5 bald14 6 0.053 0.023 0.019
GALNT10 bald14 13 0.014 0.013 0.29
GALNT2 bald14 17 -0.007 0.014 0.6
GALNT3 bald14 9 -0.001 0.013 0.97
GALNT5 bald14 9 -0.024 0.013 0.068
GALNT7 bald14 5 -0.02 0.042 0.64
GAS6 bald14 13 -0.016 0.018 0.39
GASK1A bald14 37 -0.002 0.008 0.77
GBP1 bald14 5 0.008 0.024 0.75
GBP2 bald14 5 -0.009 0.044 0.84
GBP4 bald14 29 -0.004 0.008 0.58
GC bald14 77 0.003 0.007 0.64
GCNT1 bald14 18 0 0.009 1
GDF15 bald14 10 0 0.008 0.99
GDNF bald14 16 -0.006 0.014 0.69
GFAP bald14 5 -0.024 0.038 0.53
GFRA1 bald14 10 -0.016 0.021 0.46
GFRA2 bald14 19 0.014 0.007 0.063
GFRA3 bald14 5 -0.072 0.056 0.2
GFRAL bald14 29 0.002 0.012 0.89
GGACT bald14 11 -0.011 0.005 0.027
GGCT bald14 4 0.046 0.065 0.48
GGH bald14 23 -0.011 0.01 0.25
GGT1 bald14 19 -0.008 0.014 0.56
GGT5 bald14 15 -0.006 0.016 0.71
GHR bald14 29 0.01 0.008 0.17
GHRL bald14 4 -0.002 0.021 0.92
GIMAP7 bald14 19 -0.024 0.006 1.9e-05
GIMAP8 bald14 8 -0.039 0.017 0.021
GIPC2 bald14 8 -0.02 0.033 0.55
GIPC3 bald14 7 0.014 0.014 0.31
GLO1 bald14 6 -0.036 0.057 0.52
GLRX5 bald14 4 0.005 0.036 0.9
GLRX bald14 20 0.006 0.008 0.5
GM2A bald14 23 0.001 0.007 0.87
GMPR2 bald14 5 0.009 0.028 0.74
GMPR bald14 9 -0.023 0.018 0.21
GNLY bald14 17 -0.014 0.009 0.11
GNPDA1 bald14 5 -0.032 0.051 0.53
GNPDA2 bald14 12 -0.036 0.024 0.12
GOLGA3 bald14 5 -0.025 0.028 0.37
GP1BA bald14 4 -0.024 0.032 0.47
GP2 bald14 11 0.029 0.01 0.0023
GP6 bald14 9 -0.005 0.029 0.87
GPA33 bald14 4 0.009 0.021 0.67
GPC1 bald14 11 0.001 0.017 0.95
GPC5 bald14 61 -0.006 0.003 0.074
GPD1 bald14 4 0.052 0.03 0.082
GPHA2 bald14 7 -0.035 0.016 0.031
GPIHBP1 bald14 11 -0.015 0.019 0.43
GPNMB bald14 17 0.009 0.01 0.37
GPR158 bald14 5 0.007 0.1 0.94
GPR15L bald14 8 -0.017 0.026 0.5
GPR37 bald14 59 0.001 0.012 0.96
GPRC5C bald14 4 -0.203 0.096 0.034
GRHPR bald14 8 0.128 0.104 0.22
GRIK2 bald14 8 0.001 0.014 0.96
GRN bald14 4 0.019 0.02 0.34
GRP bald14 7 0.002 0.013 0.88
GSN bald14 9 -0.007 0.024 0.75
GSR bald14 6 -0.007 0.04 0.87
GSTA1 bald14 5 0.001 0.011 0.94
GSTA3 bald14 4 -0.001 0.013 0.96
GSTM4 bald14 11 0.026 0.026 0.3
GSTP1 bald14 6 0.034 0.025 0.17
GSTT2B bald14 68 0.004 0.003 0.15
GUCA2A bald14 9 0.003 0.034 0.93
GUSB bald14 9 0.015 0.026 0.55
GZMB bald14 7 -0.011 0.012 0.34
GZMH bald14 11 -0.017 0.018 0.36
